Date,Time,Ch0,Ch1,Ch2,Ch3,
11-08-2023, 09:47:25,1517,1453,1439,4998,
11-08-2023, 09:47:35,1484,1398,1387,4998,
11-08-2023, 09:47:45,1435,1375,1370,4998,
11-08-2023, 09:47:55,1499,1400,1428,4998,
11-08-2023, 09:48:05,1522,1444,1434,4998,
11-08-2023, 09:48:15,1534,1448,1444,4998,
11-08-2023, 09:48:25,1448,1477,1468,4998,
11-08-2023, 09:48:35,1522,1472,1451,4998,
11-08-2023, 09:48:45,1517,1505,1466,4998,
11-08-2023, 09:48:55,1538,1474,1475,4998,
11-08-2023, 09:51:03,1469,1273,1368,4998,
11-08-2023, 09:51:13,1518,1402,1425,4998,
11-08-2023, 09:52:37,1523,1431,1456,4998,
11-08-2023, 09:52:47,1506,1448,1412,4998,
11-08-2023, 09:52:57,1488,1398,1394,4998,
11-08-2023, 09:53:07,1479,1431,1375,4998,
11-08-2023, 11:18:05,1693,1553,1271,4998,
11-08-2023, 11:18:06,1702,1557,1363,4998,
11-08-2023, 11:18:07,1614,1546,1356,4998,
11-08-2023, 11:18:08,1706,1563,1352,4998,
11-08-2023, 11:18:09,1699,1531,1354,4998,
11-08-2023, 11:18:10,1687,1523,1340,4998,
11-08-2023, 11:18:11,1685,1519,1336,4998,
11-08-2023, 11:18:12,1684,1506,1343,4998,
11-08-2023, 11:18:13,1674,1488,1312,4998,
11-08-2023, 11:18:14,1658,1506,1314,4998,
11-08-2023, 11:18:15,1661,1497,1308,4998,
11-08-2023, 11:18:16,1660,1494,1306,4998,
11-08-2023, 11:18:17,1657,1485,1292,4998,
11-08-2023, 11:24:51,1711,1555,1364,4998,
11-08-2023, 11:24:52,1706,1533,1367,4998,
11-08-2023, 11:24:53,1701,1525,1361,4998,
11-08-2023, 11:24:54,1711,1525,1361,4998,
11-08-2023, 11:24:55,1701,1523,1357,4998,
11-08-2023, 11:24:56,1702,1522,1359,4998,
11-08-2023, 11:24:57,1696,1518,1351,4998,
11-08-2023, 11:24:58,1713,1539,1358,4998,
11-08-2023, 11:24:59,1713,1549,1373,4998,
11-08-2023, 13:23:48,1677,1517,1351,4998,
11-08-2023, 13:23:49,1674,1523,1346,4998,
11-08-2023, 13:23:50,1665,1500,1330,4998,
11-08-2023, 13:23:51,1647,1475,1315,4998,
11-08-2023, 13:23:52,1639,1463,1300,4998,
11-08-2023, 13:23:53,1647,1478,1297,4998,
11-08-2023, 13:23:54,1624,1457,1281,4998,
11-08-2023, 13:23:55,1624,1452,1285,4998,
11-08-2023, 13:23:56,1667,1494,1317,4998,
11-08-2023, 13:23:57,1629,1468,1293,4998,
11-08-2023, 13:23:58,1618,1444,1296,4998,
11-08-2023, 13:29:30,1541,1466,1301,4998,
11-08-2023, 13:29:31,1633,1455,1295,4998,
11-08-2023, 13:29:32,1650,1457,1297,4998,
11-08-2023, 13:29:33,1660,1488,1330,4998,
11-08-2023, 13:29:34,1658,1474,1319,4998,
11-08-2023, 13:29:35,1699,1536,1381,4998,
11-08-2023, 13:29:36,1691,1512,1356,4998,
11-08-2023, 13:29:37,1701,1516,1364,4998,
11-08-2023, 13:31:38,1722,1545,1385,4998,
11-08-2023, 13:31:39,1700,1546,1389,4998,
11-08-2023, 13:31:40,1724,1558,1380,4998,
11-08-2023, 13:31:41,1700,1545,1391,4998,
11-08-2023, 13:31:42,1710,1539,1392,4998,
11-08-2023, 13:31:43,1702,1536,1389,4998,
11-08-2023, 13:31:44,1711,1550,1380,4998,
11-08-2023, 13:31:45,1695,1568,1298,4998,
11-08-2023, 13:31:46,1717,1560,1381,4998,
11-08-2023, 13:31:47,1696,1450,1361,4998,
11-08-2023, 13:31:48,1688,1512,1368,4998,
11-08-2023, 13:31:49,1606,1518,1362,4998,
11-08-2023, 13:31:50,1678,1528,1381,4998,
11-08-2023, 13:31:51,1684,1542,1352,4998,
11-08-2023, 13:31:52,1679,1530,1368,4998,
11-08-2023, 13:31:53,1684,1531,1352,4998,
11-08-2023, 13:31:54,1677,1535,1348,4998,
11-08-2023, 13:31:55,1682,1536,1353,4998,
11-08-2023, 13:31:56,1373,1418,1336,4998,
11-08-2023, 13:41:01,1672,1510,1345,4998,
11-08-2023, 13:41:02,1661,1501,1335,4998,
11-08-2023, 13:41:03,1654,1463,1319,4998,
11-08-2023, 13:41:04,1654,1455,1325,4998,
11-08-2023, 13:41:05,1646,1450,1302,4998,
11-08-2023, 13:41:06,1651,1445,1306,4998,
11-08-2023, 13:41:07,1645,1452,1300,4998,
11-08-2023, 13:41:08,1655,1453,1292,4998,
11-08-2023, 13:41:09,1641,1462,1215,4998,
11-08-2023, 13:41:10,1650,1473,1314,4998,
11-08-2023, 13:41:11,1658,1429,1311,4998,
11-08-2023, 13:41:12,1613,1444,1281,4998,
11-08-2023, 13:41:13,1553,1468,1317,4998,
11-08-2023, 13:41:14,1635,1470,1313,4998,
11-08-2023, 13:41:15,1646,1479,1322,4998,
11-08-2023, 13:41:16,1645,1483,1315,4998,
11-08-2023, 13:41:17,1663,1486,1319,4998,
11-08-2023, 13:41:18,1640,1485,1334,4998,
11-08-2023, 13:41:19,1645,1479,1311,4998,
11-08-2023, 13:41:20,1641,1479,1306,4998,
11-08-2023, 13:41:21,1655,1480,1313,4998,
11-08-2023, 13:41:22,1644,1484,1317,4998,
11-08-2023, 13:41:23,1656,1459,1306,4998,
11-08-2023, 13:41:24,1650,1458,1306,4998,
11-08-2023, 13:41:25,1661,1479,1319,4998,
11-08-2023, 13:41:26,1671,1468,1336,4998,
11-08-2023, 13:41:27,1655,1451,1325,4998,
11-08-2023, 13:41:28,1650,1463,1315,4998,
11-08-2023, 13:41:29,1687,1495,1336,4998,
11-08-2023, 14:13:40,1689,1541,1330,4998,
11-08-2023, 14:13:41,1654,1486,1318,4998,
11-08-2023, 14:13:42,1666,1489,1335,4998,
11-08-2023, 14:13:43,1666,1513,1351,4998,
11-08-2023, 14:13:44,1650,1500,1315,4998,
11-08-2023, 14:13:45,1666,1523,1334,4998,
11-08-2023, 14:13:46,1656,1488,1315,4998,
11-08-2023, 14:13:47,1651,1514,1319,4998,
11-08-2023, 14:13:48,1650,1472,1312,4998,
11-08-2023, 14:13:49,1674,1463,1313,4998,
11-08-2023, 14:13:50,1650,1486,1318,4998,
11-08-2023, 14:13:51,1613,1450,1263,4998,
11-08-2023, 14:13:52,1657,1473,1271,4998,
